"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="00904","新光臺灣半導體30","市","04/10","","17.36","+0.18","+1.05","3,525","60.9","17.18","17.17","17.37","17.17","1.16","","","    ","    ","    ","    ","    "
="00905","FT臺灣Smart","市","04/10","","12.91","+0.03","+0.23","1,754","22.6","12.88","12.92","12.92","12.85","0.54","","","    ","    ","    ","    ","    "
="00907","永豐優息存股","市","04/10","","15.15","-0.01","-0.07","2,092","31.7","15.16","15.16","15.2","15.14","0.4","","","    ","    ","    ","    ","    "
="00908","富邦入息REITs+","市","04/10","","12.31","+0.06","+0.49","667","8.22","12.25","12.29","12.34","12.29","0.41","","","    ","    ","    ","    ","    "
="00909","國泰數位支付服務","市","04/10","","27.81","-0.54","-1.9","7,688","214","28.35","27.88","27.88","27.78","0.35","","","    ","    ","    ","    ","    "
="00910","第一金太空衛星","市","04/10","","16.77","-0.07","-0.42","103","1.73","16.84","16.77","16.77","16.75","0.12","","","    ","    ","    ","    ","    "
="00911","兆豐洲際半導體","市","04/10","","27.1","+0.13","+0.48","208","5.64","26.97","27","27.19","27","0.7","","","    ","    ","    ","    ","    "
="00912","中信臺灣智慧50","市","04/10","","17.68","+0.06","+0.34","251","4.43","17.62","17.62","17.71","17.61","0.57","","","    ","    ","    ","    ","    "
="00913","兆豐台灣晶圓製造","市","04/10","","20.62","+0.26","+1.28","707","14.5","20.36","20.36","20.64","20.36","1.38","","","    ","    ","    ","    ","    "
="00915","凱基優選高股息30","市","04/10","","25.49","-0.02","-0.08","6,697","171","25.51","25.59","25.59","25.42","0.67","","","    ","    ","    ","    ","    "
="00916","國泰全球品牌50","市","04/10","","21.37","+0.03","+0.14","153","3.28","21.34","21.34","21.39","21.34","0.23","","","    ","    ","    ","    ","    "
="00917","中信特選金融","市","04/10","","18.97","+0.03","+0.16","889","16.9","18.94","18.96","18.97","18.93","0.21","","","    ","    ","    ","    ","    "
="00918","大華優利高填息30","市","04/10","","23.61","+0.02","+0.08","11,302","267","23.59","23.65","23.69","23.59","0.42","","","    ","    ","    ","    ","    "
="00919","群益台灣精選高息","市","04/10","","25.3","+0.1","+0.4","57,452","1,456","25.2","25.2","25.45","25.2","0.99","","","    ","    ","    ","    ","    "
="00920","富邦ESG綠色電力","市","04/10","","14.2","+0.12","+0.85","92","1.31","14.08","14.18","14.2","14.16","0.28","","","    ","    ","    ","    ","    "
="00921","兆豐龍頭等權重","市","04/10","","18.77","+0.09","+0.48","694","13","18.68","18.7","18.79","18.7","0.48","","","    ","    ","    ","    ","    "
="00922","國泰台灣領袖50","市","04/10","","19.46","+0.01","+0.05","2,239","43.6","19.45","19.45","19.5","19.4","0.51","","","    ","    ","    ","    ","    "
="00923","群益台ESG低碳50","市","04/10","","20.3","+0.03","+0.15","4,237","86","20.27","20.28","20.35","20.2","0.74","","","    ","    ","    ","    ","    "
="00924","復華S&P500成長","市","04/10","","20.42","-0.08","-0.39","460","9.41","20.5","20.5","20.5","20.41","0.44","","","    ","    ","    ","    ","    "
="00925","新光標普電動車","市","04/10","","16.89","+0.17","+1.02","219","3.7","16.72","16.93","16.93","16.87","0.36","","","    ","    ","    ","    ","    "
="00926","凱基全球菁英55","市","04/10","","20.17","-0.23","-1.13","863","17.4","20.4","20.22","20.22","20.14","0.39","","","    ","    ","    ","    ","    "
="00927","群益半導體收益","市","04/10","","19.93","+0.22","+1.12","15,548","309","19.71","19.71","19.99","19.71","1.42","","","    ","    ","    ","    ","    "
="00929","復華台灣科技優息","市","04/10","","21.13","+0.19","+0.91","89,783","1,895","20.94","20.96","21.2","20.96","1.15","","","    ","    ","    ","    ","    "
="00930","永豐ESG低碳高息","市","04/10","","20.63","+0.19","+0.93","1,776","36.6","20.44","20.45","20.7","20.45","1.22","","","    ","    ","    ","    ","    "
="00932","兆豐永續高息等權","市","04/10","","18.02","+0.11","+0.61","805","14.5","17.91","17.91","18.08","17.9","1.01","","","    ","    ","    ","    ","    "
="00934","中信成長高股息","市","04/10","","19.16","+0.17","+0.9","5,141","98.4","18.99","18.99","19.22","18.97","1.32","","","    ","    ","    ","    ","    "
="00935","野村臺灣新科技50","市","04/10","","20.33","+0.06","+0.3","3,108","63.2","20.27","20.28","20.42","20.21","1.04","","","    ","    ","    ","    ","    "
="00936","台新永續高息中小","市","04/10","","18.24","+0.11","+0.61","2,903","52.9","18.13","18.17","18.28","18.15","0.72","","","    ","    ","    ","    ","    "
="00939","統一台灣高息動能","市","04/10","","14.82","+0.04","+0.27","41,579","617","14.78","14.78","14.89","14.78","0.74","","","    ","    ","    ","    ","    "
="00940","元大台灣價值高息","市","04/10","","9.85","+0.05","+0.51","158,032","1,557","9.8","9.82","9.88","9.82","0.61","","","    ","    ","    ","    ","    "
="00941","中信上游半導體","市","04/10","","15.44","+0.01","+0.06","30,013","463","15.43","15.44","15.47","15.42","0.32","","","    ","    ","    ","    ","    "
"01001T","土銀富邦R1","市","04/10","","14.69","0","0","0","0","14.69","14.69","14.69","14.69","0","","","    ","    ","    ","    ","    "
"01002T","土銀國泰R1","市","04/10","","17.15","0","0","3","0.05","17.15","17.16","17.16","17.15","0.06","","","    ","    ","    ","    ","    "
"01004T","土銀富邦R2","市","04/10","","12.9","0","0","131","1.69","12.9","12.9","12.9","12.9","0","","","    ","    ","    ","    ","    "
"01007T","兆豐國泰R2","市","04/10","","16.73","-0.08","-0.48","43","0.72","16.81","16.81","16.81","16.73","0.48","","","    ","    ","    ","    ","    "
"01009T","王道圓滿R1","市","04/10","","8.01","0","0","2","0.02","8.01","8.01","8.01","8.01","0","","","    ","    ","    ","    ","    "
"01010T","京城樂富R1","市","04/10","","10.06","0","0","136","1.37","10.06","10.06","10.06","10.06","0","","","    ","    ","    ","    ","    "
="020000","富邦特選蘋果N","市","04/10","","11.5","0","0","0","0","11.5","11.5","11.5","11.5","0","","","    ","    ","    ","    ","    "
="020002","元富新中國N","市","04/10","","11.15","+0.05","+0.45","1","0.01","11.12","11.15","11.15","11.15","0","","","    ","    ","    ","    ","    "
="020007","凱基臺灣500N","市","04/10","","43.74","0","0","0","0","43.02","43.74","43.74","43.74","0","","","    ","    ","    ","    ","    "
="020011","統一微波高息20N","市","04/10","","9.81","0","0","0","0","9.76","9.81","9.81","9.81","0","","","    ","    ","    ","    ","    "
="020012","富邦行動通訊N","市","04/10","","10.25","+0.09","+0.89","23","0.24","10.18","10.25","10.25","10.25","0","","","    ","    ","    ","    ","    "
="020015","統一MSCI美低波N","市","04/10","","16.44","0","0","0","0","16.46","16.44","16.44","16.44","0","","","    ","    ","    ","    ","    "
="020016","統一MSCI美科技N","市","04/10","","25.89","0","0","0","0","25.93","25.89","25.89","25.89","0","","","    ","    ","    ","    ","    "
="020018","統一價值成長30N","市","04/10","","22.57","0","0","1","0.02","22.57","22.57","22.57","22.57","0","","","    ","    ","    ","    ","    "
="020019","統一特選台灣5GN","市","04/10","","17.74","0","0","0","0","17.54","17.74","17.74","17.74","0","","","    ","    ","    ","    ","    "
"02001L","富邦蘋果正二N","市","04/10","","24.85","-0.46","-1.82","83","2.08","25.31","25.4","25.4","24.85","2.17","","","    ","    ","    ","    ","    "
"02001R","富邦蘋果反一N","市","04/10","","1.62","+0.01","+0.62","1","0","1.61","1.62","1.62","1.62","0","","","    ","    ","    ","    ","    "
"02001S","策元大加權策略N","市","04/10","","6.79","+0.03","+0.44","10","0.07","6.7","6.79","6.79","6.79","0","","","    ","    ","    ","    ","    "
="020020","元大台股領航N","市","04/10","","10.33","-0.03","-0.29","69","0.72","10.36","10.39","10.39","10.33","0.58","","","    ","    ","    ","    ","    "
="020028","元大特選電動車N","市","04/10","","8.8","-0.06","-0.68","31","0.27","8.86","8.93","8.93","8.79","1.58","","","    ","    ","    ","    ","    "
="020029","元大ESG高股息N","市","04/10","","8.39","+0.09","+1.08","156","1.31","8.3","8.38","8.46","8.38","0.96","","","    ","    ","    ","    ","    "
="020030","統一智慧電動車N","市","04/10","","5.82","0","0","67","0.39","5.82","5.85","5.85","5.82","0.52","","","    ","    ","    ","    ","    "
="020031","統一IC設計臺灣N","市","04/10","","6.25","+0.06","+0.97","156","0.97","6.19","6.22","6.26","6.22","0.65","","","    ","    ","    ","    ","    "
