"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="1504","東元","市","04/10","","56.2","-0.8","-1.4","12,184","689","57","57.5","57.6","56.2","2.46","20.4","1.48","    ","    ","    ","    ","    "
="1506","正道","市","04/10","","16.05","-0.05","-0.31","231","3.7","16.1","16.1","16.1","16","0.62","55.3","1.77","    ","    ","    ","    ","    "
="1512","瑞利","市","04/10","","10.6","0","0","18","0.19","10.6","10.5","10.6","10.4","1.89","265","2.82","    ","    ","    ","    ","    "
="1513","中興電","市","04/10","","183","-2","-1.08","58,903","10,804","185","187.5","191","179","6.49","56.3","5.74","    ","    ","    ","    ","    "
="1514","亞力","市","04/10","","140.5","+12.5","+9.77","104,405","14,097","128","132","140.5","128.5","9.38","45.6","7.4","    ","    ","    ","    ","    "
="1515","力山","市","04/10","","51","+1.1","+2.2","4,675","239","49.9","51","52.3","50.2","4.21","30","2.44","    ","    ","    ","    ","    "
="1516","川飛","市","04/10","","17.55","+0.45","+2.63","320","5.62","17.1","17.2","17.8","17.2","3.51","51.6","1.51","    ","    ","    ","    ","    "
="1517","利奇","市","04/10","","15.95","-0.1","-0.62","332","5.32","16.05","16.05","16.15","15.95","1.25","","0.96","    ","    ","    ","    ","    "
="1519","華城","市","04/10","","857","+4","+0.47","7,211","6,214","853","859","894","811","9.73","86.8","37.1","    ","    ","    ","    ","    "
="1521","大億","市","04/10","","39.8","+0.2","+0.51","74","2.95","39.6","40","40.3","39.75","1.39","71.1","1.71","    ","    ","    ","    ","    "
="1522","堤維西","市","04/10","","57.5","-0.7","-1.2","5,034","290","58.2","58.7","58.7","56.9","3.09","17.4","2.14","    ","    ","    ","    ","    "
"1522A","堤維西甲特","市","04/10","","45.25","0","0","1","0.05","45.25","45.25","45.25","45.25","0","","","    ","    ","    ","    ","    "
="1524","耿鼎","市","04/10","","37.1","-0.2","-0.54","4,493","167","37.3","37.55","37.6","36.9","1.88","17.4","2.27","    ","    ","    ","    ","    "
="1525","江申","市","04/10","","73.6","0","0","34","2.48","73.6","73.6","73.8","73.5","0.41","13.4","1.13","    ","    ","    ","    ","    "
="1526","日馳","市","04/10","","34.15","+0.35","+1.04","105","3.56","33.8","33.8","34.2","33.8","1.18","44.9","1.47","    ","    ","    ","    ","    "
="1527","鑽全","市","04/10","","43.45","+0.3","+0.7","700","30.4","43.15","43.25","43.6","43.25","0.81","16.3","1.27","    ","    ","    ","    ","    "
="1528","恩德","市","04/10","","13","-0.2","-1.52","1,131","14.9","13.2","13.5","13.5","13","3.79","","1.04","    ","    ","    ","    ","    "
="1529","樂事綠能","市","04/10","","35.35","0","0","3,783","135","35.35","35.4","36.2","35.15","2.97","38.8","3.02","    ","    ","    ","    ","    "
="1530","亞崴","市","04/10","","32.1","0","0","150","4.8","32.1","32.15","32.2","32","0.62","14.7","0.94","    ","    ","    ","    ","    "
="1531","高林股","市","04/10","","13.5","+0.1","+0.75","165","2.22","13.4","13.4","13.6","13.4","1.49","169","0.69","    ","    ","    ","    ","    "
="1532","勤美","市","04/10","","38.9","+0.5","+1.3","2,098","81.4","38.4","38.55","39","38.45","1.43","15.2","1.11","    ","    ","    ","    ","    "
="1533","車王電","市","04/10","","48.35","+0.45","+0.94","103","4.95","47.9","47.9","48.95","47.7","2.61","","1.93","    ","    ","    ","    ","    "
="1535","中宇","市","04/10","","78.4","+4.1","+5.52","1,207","93.2","74.3","75.3","78.6","75","4.85","17.4","2.65","    ","    ","    ","    ","    "
="1536","和大","市","04/10","","55.2","+2.8","+5.34","6,179","339","52.4","52.6","55.9","52","7.44","47.2","1.77","    ","    ","    ","    ","    "
="1537","廣隆","市","04/10","","139.5","+0.5","+0.36","140","19.5","139","139","139.5","138.5","0.72","18.8","2.76","    ","    ","    ","    ","    "
="1538","正峰","市","04/10","","18.9","-0.05","-0.26","14","0.26","18.95","18.85","18.95","18.85","0.53","","4.68","    ","    ","    ","    ","    "
="1539","巨庭","市","04/10","","25.15","-0.15","-0.59","253","6.38","25.3","25.35","25.5","25","1.98","26.2","1.04","    ","    ","    ","    ","    "
="1540","喬福","市","04/10","","19.45","+0.1","+0.52","577","11.2","19.35","19.3","19.6","19.25","1.81","15","1.16","    ","    ","    ","    ","    "
="1541","錩泰","市","04/10","","32","-0.05","-0.16","25","0.8","32.05","32.05","32.05","31.85","0.62","21.9","1.32","    ","    ","    ","    ","    "
="1558","伸興","市","04/10","","97.9","+0.3","+0.31","69","6.73","97.6","97.6","98.1","97.4","0.72","25.7","1.22","    ","    ","    ","    ","    "
="1560","中砂","市","04/10","","257.5","-1","-0.39","1,510","391","258.5","258.5","262","257.5","1.74","43.6","6.05","    ","    ","    ","    ","    "
="1568","倉佑","市","04/10","","30.95","+0.05","+0.16","447","13.8","30.9","30.7","31.15","30.55","1.94","11.6","1.73","    ","    ","    ","    ","    "
="1582","信錦","市","04/10","","89.7","+0.4","+0.45","1,787","161","89.3","89.6","90.6","89.4","1.34","17.5","1.88","    ","    ","    ","    ","    "
="1583","程泰","市","04/10","","76.5","-0.2","-0.26","84","6.5","76.7","76.7","77.9","76.4","1.96","11.8","1.53","    ","    ","    ","    ","    "
="1587","吉茂","市","04/10","","41.5","+2.25","+5.73","4,844","194","39.25","39.25","41.6","38","9.17","68","2.08","    ","    ","    ","    ","    "
="1589","永冠-KY","市","04/10","","50.8","-0.5","-0.97","594","30.3","51.3","51.5","51.6","50.8","1.56","","0.7","    ","    ","    ","    ","    "
="1590","亞德客-KY","市","04/10","","1175","+15","+1.29","1,124","1,329","1160","1160","1200","1155","3.88","33.7","5.52","    ","    ","    ","    ","    "
="1597","直得","市","04/10","","75.6","+1.8","+2.44","1,372","103","73.8","74.2","76.4","74.2","2.98","67.5","2.81","    ","    ","    ","    ","    "
="1598","岱宇","市","04/10","","31.4","-0.2","-0.63","250","7.85","31.6","31.5","31.6","31.35","0.79","","1.08","    ","    ","    ","    ","    "
="1603","華電","市","04/10","","45.95","+1","+2.22","11,445","520","44.95","45.15","46.3","44.6","3.78","15.4","1.13","    ","    ","    ","    ","    "
="1604","聲寶","市","04/10","","30.3","+0.1","+0.33","2,936","88.8","30.2","30.25","30.35","30.15","0.66","15.2","1.36","    ","    ","    ","    ","    "
="1605","華新","市","04/10","","39","+0.2","+0.52","37,341","1,450","38.8","39.1","39.2","38.3","2.32","29.5","1.12","    ","    ","    ","    ","    "
="1608","華榮","市","04/10","","35.35","-0.95","-2.62","61,146","2,244","36.3","37","38.55","35.25","9.09","15.9","1.95","    ","    ","    ","    ","    "
="1609","大亞","市","04/10","","46.7","+1.15","+2.52","113,516","5,316","45.55","47","48.3","45.7","5.71","11.9","2.39","    ","    ","    ","    ","    "
="1611","中電","市","04/10","","17.3","+0.1","+0.58","1,284","22.3","17.2","17.25","17.6","17.2","2.33","37.6","1.29","    ","    ","    ","    ","    "
="1612","宏泰","市","04/10","","34.15","+0.4","+1.19","10,008","341","33.75","34.35","34.9","33.6","3.85","17.2","1.43","    ","    ","    ","    ","    "
="1614","三洋電","市","04/10","","39.35","0","0","119","4.67","39.35","39.25","39.35","39.1","0.64","31.7","1.83","    ","    ","    ","    ","    "
="1615","大山","市","04/10","","60.4","+0.9","+1.51","622","37.4","59.5","61","61","58.7","3.87","18.8","3.35","    ","    ","    ","    ","    "
="1616","億泰","市","04/10","","21.5","-0.8","-3.59","2,003","43.6","22.3","22","22.4","21.5","4.04","18.1","2.17","    ","    ","    ","    ","    "
="1617","榮星","市","04/10","","18.4","-0.35","-1.87","820","15.3","18.75","18.9","19.3","18.4","4.8","204","1.42","    ","    ","    ","    ","    "
="1618","合機","市","04/10","","39.7","+0.25","+0.63","14,407","570","39.45","40","40.95","38.65","5.83","19.8","1.51","    ","    ","    ","    ","    "
="1626","艾美特-KY","市","04/10","","16.05","+0.05","+0.31","63","1.01","16","16.05","16.05","16","0.31","94.4","0.79","    ","    ","    ","    ","    "
="1701","中化","市","04/10","","23.05","+0.1","+0.44","778","18","22.95","23.1","23.15","22.9","1.09","21.3","0.92","    ","    ","    ","    ","    "
="1702","南僑","市","04/10","","57.8","+0.1","+0.17","568","32.7","57.7","58","58","57.4","1.04","13.8","1.46","    ","    ","    ","    ","    "
="1707","葡萄王","市","04/10","","161","+1","+0.62","206","33.1","160","161","161","160","0.62","16.4","2.39","    ","    ","    ","    ","    "
="1708","東鹼","市","04/10","","31.35","+0.05","+0.16","414","13","31.3","31.35","31.45","31.3","0.48","","1.23","    ","    ","    ","    ","    "
="1709","和益","市","04/10","","20","+0.25","+1.27","687","13.6","19.75","19.75","20","19.7","1.52","22.7","1.19","    ","    ","    ","    ","    "
="1710","東聯","市","04/10","","18.2","+0.15","+0.83","1,794","32.8","18.05","18.1","18.4","18.1","1.66","60.7","1.35","    ","    ","    ","    ","    "
="1711","永光","市","04/10","","20.7","+0.15","+0.73","1,278","26.5","20.55","20.6","20.85","20.55","1.46","129","1.36","    ","    ","    ","    ","    "
="1712","興農","市","04/10","","38.9","-0.1","-0.26","387","15.1","39","39","39.3","38.85","1.15","15.6","1.92","    ","    ","    ","    ","    "
="1713","國化","市","04/10","","45.75","-1.6","-3.38","953","43.5","47.35","45.6","46.5","44.55","4.12","19.7","2.43","    ","    ","    ","    ","    "
="1714","和桐","市","04/10","","8.84","-0.02","-0.23","776","6.87","8.86","8.89","8.89","8.83","0.68","14.7","0.73","    ","    ","    ","    ","    "
="1717","長興","市","04/10","","32.75","+0.15","+0.46","9,218","305","32.6","32.8","33.55","32.65","2.76","25.6","1.56","    ","    ","    ","    ","    "
="1718","中纖","市","04/10","","7.45","-0.03","-0.4","2,013","15","7.48","7.49","7.51","7.43","1.07","","0.48","    ","    ","    ","    ","    "
="1720","生達","市","04/10","","65.7","-0.8","-1.2","641","42.3","66.5","66.5","66.5","65.5","1.5","14.1","2.22","    ","    ","    ","    ","    "
="1721","三晃","市","04/10","","14.95","+0.2","+1.36","1,309","19.7","14.75","14.7","15.25","14.7","3.73","","1.31","    ","    ","    ","    ","    "
="1722","台肥","市","04/10","","63.6","-0.4","-0.62","1,696","108","64","64","64.1","63.5","0.94","15.9","1.14","    ","    ","    ","    ","    "
="1723","中碳","市","04/10","","116.5","-1.5","-1.27","614","72","118","117.5","118.5","116.5","1.69","18.9","3.29","    ","    ","    ","    ","    "
="1725","元禎","市","04/10","","34.15","-1.05","-2.98","516","17.9","35.2","35.9","36","34.15","5.26","31","1.35","    ","    ","    ","    ","    "
="1726","永記","市","04/10","","79.8","0","0","13","1.05","79.8","79.9","79.9","79.2","0.88","15.6","1.32","    ","    ","    ","    ","    "
="1727","中華化","市","04/10","","29.5","+0.15","+0.51","479","14.2","29.35","29.55","29.9","29.3","2.04","75.6","1.9","    ","    ","    ","    ","    "
="1730","花仙子","市","04/10","","56.6","0","0","38","2.14","56.6","56.4","56.7","56.4","0.53","15.5","1.95","    ","    ","    ","    ","    "
="1731","美吾華","市","04/10","","24.65","-0.15","-0.6","513","12.7","24.8","24.65","24.8","24.5","1.21","19.4","1.61","    ","    ","    ","    ","    "
="1732","毛寶","市","04/10","","28.2","+0.1","+0.36","61","1.74","28.1","28.1","28.45","28.1","1.25","","2.51","    ","    ","    ","    ","    "
="1733","五鼎","市","04/10","","35.65","+1.05","+3.03","2,251","80.2","34.6","34.85","36.3","34.7","4.62","30.7","1.98","    ","    ","    ","    ","    "
="1734","杏輝","市","04/10","","37.75","-0.2","-0.53","1,288","48.7","37.95","38","38","37.6","1.05","16.9","2.04","    ","    ","    ","    ","    "
="1735","日勝化","市","04/10","","17.2","-0.1","-0.58","14","0.24","17.3","17.15","17.3","17.15","0.87","22.6","1.14","    ","    ","    ","    ","    "
="1736","喬山","市","04/10","","75.8","-1.3","-1.69","5,157","389","77.1","76.8","77","73.7","4.28","32.4","2.38","    ","    ","    ","    ","    "
="1737","臺鹽","市","04/10","","33.75","-0.05","-0.15","227","7.67","33.8","33.85","33.85","33.7","0.44","22.5","1.04","    ","    ","    ","    ","    "
="1752","南光","市","04/10","","46.95","-0.2","-0.42","212","9.97","47.15","47.1","47.35","46.6","1.59","24","1.99","    ","    ","    ","    ","    "
="1760","寶齡富錦","市","04/10","","108","-2","-1.82","821","89.5","110","109.5","111","108","2.73","120","4.85","    ","    ","    ","    ","    "
="1762","中化生","市","04/10","","48.3","+0.15","+0.31","284","13.8","48.15","48.2","48.9","48.2","1.45","14.1","1.12","    ","    ","    ","    ","    "
="1773","勝一","市","04/10","","188","-2","-1.05","917","174","190","191.5","192","187.5","2.37","29.8","5.4","    ","    ","    ","    ","    "
="1776","展宇","市","04/10","","17.3","-0.05","-0.29","29","0.5","17.35","17.25","17.35","17.1","1.44","44.4","1.18","    ","    ","    ","    ","    "
="1783","和康生","市","04/10","","46.1","+0.95","+2.1","178","8.16","45.15","45.6","46.25","45.35","1.99","24.8","3.01","    ","    ","    ","    ","    "
="1786","科妍","市","04/10","","105","-3.5","-3.23","9,622","1,100","108.5","119","119","105","12.9","39.5","4.37","    ","    ","    ","    ","    "
="1789","神隆","市","04/10","","28.7","+0.9","+3.24","3,796","109","27.8","28.2","29.2","28.15","3.78","79.7","2.19","    ","    ","    ","    ","    "
="1795","美時","市","04/10","","326.5","+3.5","+1.08","11,055","3,618","323","323","332.5","317","4.8","20.8","4.98","    ","    ","    ","    ","    "
="1802","台玻","市","04/10","","17.65","+0.05","+0.28","2,245","39.7","17.6","17.6","17.75","17.6","0.85","1765","1.08","    ","    ","    ","    ","    "
="1805","寶徠","市","04/10","","19.8","-0.3","-1.49","765","15.2","20.1","20","20.25","19.3","4.73","","2.56","    ","    ","    ","    ","    "
="1806","冠軍","市","04/10","","10.1","+0.27","+2.75","684","6.83","9.83","9.89","10.1","9.89","2.14","","0.73","    ","    ","    ","    ","    "
="1808","潤隆","市","04/10","","114.5","+0.5","+0.44","3,005","345","114","115.5","116.5","114","2.19","6.7","3.82","    ","    ","    ","    ","    "
="1809","中釉","市","04/10","","26.3","-0.6","-2.23","2,860","76","26.9","26.9","27","26.2","2.97","","1.53","    ","    ","    ","    ","    "
="1810","和成","市","04/10","","17.8","+0.2","+1.14","1,411","25.3","17.6","17.6","18.15","17.6","3.12","297","0.81","    ","    ","    ","    ","    "
="1817","凱撒衛","市","04/10","","38.05","-0.15","-0.39","331","12.6","38.2","38.55","38.6","37.7","2.36","11.6","1.37","    ","    ","    ","    ","    "
="1903","士紙","市","04/10","","59.5","+0.2","+0.34","472","28.3","59.3","59.6","60.9","59.4","2.53","180","3.6","    ","    ","    ","    ","    "
="1904","正隆","市","04/10","","29.3","+0.1","+0.34","1,432","42.1","29.2","29.2","29.6","29.2","1.37","35.3","1.13","    ","    ","    ","    ","    "
="1905","華紙","市","04/10","","23.35","+0.2","+0.86","6,846","162","23.15","23.35","24","23.3","3.02","","1.67","    ","    ","    ","    ","    "
="1906","寶隆","市","04/10","","15.7","+0.05","+0.32","78","1.22","15.65","15.65","15.75","15.55","1.28","78.5","0.55","    ","    ","    ","    ","    "
="1907","永豐餘","市","04/10","","30.2","+0.2","+0.67","1,400","42.5","30","30.1","30.5","30.05","1.5","27.5","0.86","    ","    ","    ","    ","    "
="1909","榮成","市","04/10","","15.1","-0.1","-0.66","1,722","26.2","15.2","15.2","15.3","15.05","1.64","","0.91","    ","    ","    ","    ","    "
="2002","中鋼","市","04/10","","25.6","-0.45","-1.73","47,713","1,232","26.05","26.15","26.25","25.55","2.69","233","1.27","    ","    ","    ","    ","    "
"2002A","中鋼特","市","04/10","","43.3","-0.15","-0.35","33","1.42","43.45","43.4","43.4","43.25","0.35","","","    ","    ","    ","    ","    "
="2006","東和鋼鐵","市","04/10","","72.3","-0.3","-0.41","1,696","123","72.6","73.2","73.3","72.2","1.52","11.2","1.7","    ","    ","    ","    ","    "
="2007","燁興","市","04/10","","11.9","0","0","9,800","118","11.9","12.25","12.65","11.6","8.82","","1.08","    ","    ","    ","    ","    "
="2008","高興昌","市","04/10","","22.95","-0.35","-1.5","85","1.98","23.3","23.5","23.5","22.95","2.36","10.2","1.27","    ","    ","    ","    ","    "
="2009","第一銅","市","04/10","","51.5","+1.75","+3.52","60,402","3,118","49.75","51.1","53.5","49.95","7.14","","3.1","    ","    ","    ","    ","    "
="2010","春源","市","04/10","","21.2","-0.7","-3.2","3,578","76.4","21.9","21.9","21.95","21.1","3.88","15.7","1.17","    ","    ","    ","    ","    "
="2012","春雨","市","04/10","","24.4","0","0","168","4.1","24.4","24.35","24.65","24.25","1.64","26.8","1.59","    ","    ","    ","    ","    "
="2013","中鋼構","市","04/10","","62.6","-0.9","-1.42","890","56.8","63.5","63.5","65.1","62.5","4.09","23.4","2.32","    ","    ","    ","    ","    "
="2014","中鴻","市","04/10","","24.1","-0.85","-3.41","38,015","939","24.95","25.2","25.45","24.1","5.41","219","2.13","    ","    ","    ","    ","    "
="2015","豐興","市","04/10","","72.8","-0.2","-0.27","788","57.5","73","73","73.1","72.8","0.41","17.8","1.93","    ","    ","    ","    ","    "
="2017","官田鋼","市","04/10","","15.15","0","0","2,724","41.4","15.15","15.3","15.4","15","2.64","","1.21","    ","    ","    ","    ","    "
="2020","美亞","市","04/10","","38.45","-0.45","-1.16","1,958","75.2","38.9","38.9","38.9","38.2","1.8","8.01","2.1","    ","    ","    ","    ","    "
="2022","聚亨","市","04/10","","12.6","-0.1","-0.79","4,165","53","12.7","12.8","12.9","12.55","2.76","52.5","1.18","    ","    ","    ","    ","    "
="2023","燁輝","市","04/10","","16","-0.65","-3.9","5,578","90.5","16.65","16.65","16.65","16","3.9","","1.05","    ","    ","    ","    ","    "
="2024","志聯","市","04/10","","21.35","-0.6","-2.73","25","0.53","21.95","21.5","21.55","21.25","1.37","","1.89","    ","    ","    ","    ","    "
="2025","千興","市","04/10","","12.95","+0.95","+7.92","17,284","224","12","13.05","13.2","12.6","5","16","2.14","    ","    ","    ","    ","    "
="2027","大成鋼","市","04/10","","37","-0.5","-1.33","7,879","293","37.5","37.8","37.8","36.9","2.4","16.1","1.26","    ","    ","    ","    ","    "
="2028","威致","市","04/10","","28.6","-1","-3.38","2,402","69.6","29.6","30","30.1","28.45","5.57","22.3","2.08","    ","    ","    ","    ","    "
="2029","盛餘","市","04/10","","29.8","-1.05","-3.4","918","27.6","30.85","30.3","30.75","29.75","3.24","15.3","0.96","    ","    ","    ","    ","    "
="2030","彰源","市","04/10","","18.95","-0.3","-1.56","1,018","19.6","19.25","19.6","19.6","18.95","3.38","105","1.1","    ","    ","    ","    ","    "
="2031","新光鋼","市","04/10","","61.7","-2.7","-4.19","4,425","278","64.4","64.6","65.2","61.7","5.43","12","1.75","    ","    ","    ","    ","    "
="2032","新鋼","市","04/10","","18.55","-0.2","-1.07","2,623","48.8","18.75","19.1","19.4","18.1","6.93","","1.46","    ","    ","    ","    ","    "
="2033","佳大","市","04/10","","17.7","+0.25","+1.43","959","16.9","17.45","18","18","17.1","5.16","","1.39","    ","    ","    ","    ","    "
="2034","允強","市","04/10","","25.75","-0.25","-0.96","451","11.7","26","26.25","26.25","25.7","2.12","","1.29","    ","    ","    ","    ","    "
="2038","海光","市","04/10","","21.15","-0.55","-2.53","7,836","168","21.7","21.95","22.3","21","5.99","75.5","1.09","    ","    ","    ","    ","    "
="2049","上銀","市","04/10","","262","+1","+0.38","2,510","663","261","262.5","267","261","2.3","45.6","2.65","    ","    ","    ","    ","    "
="2059","川湖","市","04/10","","1345","-5","-0.37","1,108","1,504","1350","1370","1380","1340","2.96","47.4","7.8","    ","    ","    ","    ","    "
="2062","橋椿","市","04/10","","28.7","-1.35","-4.49","1,088","31.5","30.05","29.15","29.65","28.6","3.49","18.3","0.78","    ","    ","    ","    ","    "
="2069","運錩","市","04/10","","16.65","-0.25","-1.48","333","5.59","16.9","17.05","17.1","16.55","3.25","","0.73","    ","    ","    ","    ","    "
="2101","南港","市","04/10","","42","+0.05","+0.12","5,902","249","41.95","42.5","42.7","41.85","2.03","262","3.38","    ","    ","    ","    ","    "
="2102","泰豐","市","04/10","","17.6","+0.15","+0.86","272","4.78","17.45","17.45","17.7","17.4","1.72","","1.13","    ","    ","    ","    ","    "
="2103","台橡","市","04/10","","24","+0.75","+3.23","4,010","95.8","23.25","23.3","24.2","23.3","3.87","29.3","1.02","    ","    ","    ","    ","    "
="2104","國際中橡","市","04/10","","17.6","+0.1","+0.57","1,092","19.2","17.5","17.6","17.65","17.5","0.86","","0.51","    ","    ","    ","    ","    "
="2105","正新","市","04/10","","49.1","-0.55","-1.11","3,052","150","49.65","49.8","49.8","48.95","1.71","22.1","1.86","    ","    ","    ","    ","    "
="2106","建大","市","04/10","","33.25","+0.4","+1.22","1,818","60.3","32.85","32.95","33.4","32.7","2.13","36.1","1.62","    ","    ","    ","    ","    "
="2107","厚生","市","04/10","","25.45","+0.3","+1.19","695","17.6","25.15","25.25","25.45","25.15","1.19","15.8","0.62","    ","    ","    ","    ","    "
="2108","南帝","市","04/10","","33.75","+0.25","+0.75","564","19","33.5","33.55","33.95","33.55","1.19","23.3","1.18","    ","    ","    ","    ","    "
="2109","華豐","市","04/10","","17.45","-0.35","-1.97","1,419","24.9","17.8","17.7","17.75","17.4","1.97","11.6","1.41","    ","    ","    ","    ","    "
="2114","鑫永銓","市","04/10","","109.5","+0.5","+0.46","22","2.45","109","109","109.5","109","0.46","18.2","2.77","    ","    ","    ","    ","    "
="2115","六暉-KY","市","04/10","","30.45","-0.05","-0.16","201","6.12","30.5","30.75","30.75","30.4","1.15","17.3","1","    ","    ","    ","    ","    "
="2201","裕隆","市","04/10","","69.9","+0.8","+1.16","3,148","219","69.1","69.5","69.9","68.8","1.59","15.1","1.24","    ","    ","    ","    ","    "
="2204","中華","市","04/10","","139","+2.5","+1.83","3,835","534","136.5","137","141","136","3.66","13.4","2.15","    ","    ","    ","    ","    "
="2206","三陽工業","市","04/10","","74.8","-1","-1.32","3,780","284","75.8","75.8","76","74.8","1.58","9.41","2.65","    ","    ","    ","    ","    "
="2207","和泰車","市","04/10","","648","-1","-0.15","80","52.2","649","647","655","647","1.23","15.8","5.45","    ","    ","    ","    ","    "
="2208","台船","市","04/10","","19.5","+0.45","+2.36","17,963","353","19.05","19.2","20","19.2","4.2","","2.87","    ","    ","    ","    ","    "
="2211","長榮鋼","市","04/10","","132.5","-1.5","-1.12","2,399","318","134","133.5","136","129","5.22","15.1","2.27","    ","    ","    ","    ","    "
="2227","裕日車","市","04/10","","133","-0.5","-0.37","45","6.05","133.5","133.5","134","132","1.5","34.4","2.25","    ","    ","    ","    ","    "
="2228","劍麟","市","04/10","","104.5","+2.5","+2.45","351","36.5","102","103.5","105","102.5","2.45","15.4","1.81","    ","    ","    ","    ","    "
="2231","為升","市","04/10","","114","0","0","251","28.6","114","114","115","113","1.75","36.2","3.82","    ","    ","    ","    ","    "
="2233","宇隆","市","04/10","","134.5","+1","+0.75","150","20.2","133.5","134","135.5","134","1.12","15.2","2.27","    ","    ","    ","    ","    "
="2236","百達-KY","市","04/10","","77","-2.2","-2.78","810","63.3","79.2","79.9","80.5","76.6","4.92","25.8","2.51","    ","    ","    ","    ","    "
="2239","英利-KY","市","04/10","","58.7","+0.4","+0.69","124","7.26","58.3","58.6","58.9","58.2","1.2","41.6","0.6","    ","    ","    ","    ","    "
="2241","艾姆勒","市","04/10","","37.6","-0.75","-1.96","1,279","48.9","38.35","38.75","38.9","37.6","3.39","","2.44","    ","    ","    ","    ","    "
="2243","宏旭-KY","市","04/10","","14.2","+0.05","+0.35","91","1.3","14.15","14.25","14.35","14.1","1.77","","1.45","    ","    ","    ","    ","    "
="2247","汎德永業","市","04/10","","316","+2","+0.64","59","18.6","314","314","318","314","1.27","14.3","1.99","    ","    ","    ","    ","    "
="2250","IKKA-KY","市","04/10","","102.5","+2.5","+2.5","177","18.2","100","101","105","101","4","25.2","1.81","    ","    ","    ","    ","    "
="2254","巨鎧精密-創","市","04/10","","89.6","-1.8","-1.97","424","37.3","91.4","90.6","91.6","85","7.22","","5.78","    ","    ","    ","    ","    "
="2258","鴻華先進-創","市","04/10","","44.3","-0.3","-0.67","112","4.98","44.6","44.65","44.65","44.2","1.01","","4.02","    ","    ","    ","    ","    "
="2301","光寶科","市","04/10","","103.5","-0.5","-0.48","12,625","1,315","104","104.5","105","103.5","1.44","16.3","2.83","    ","    ","    ","    ","    "
="2302","麗正","市","04/10","","17.8","+0.15","+0.85","386","6.85","17.65","17.65","17.85","17.6","1.42","34.2","1.67","    ","    ","    ","    ","    "
="2303","聯電","市","04/10","","53.2","+0.8","+1.53","103,376","5,494","52.4","52.7","53.6","52.4","2.29","10.8","1.86","    ","    ","    ","    ","    "
="2305","全友","市","04/10","","24.6","+0.05","+0.2","236","5.81","24.55","24.5","24.7","24.4","1.22","820","2.29","    ","    ","    ","    ","    "
="2308","台達電","市","04/10","","328","-6","-1.8","6,887","2,278","334","334.5","336","328","2.4","25.5","4.28","    ","    ","    ","    ","    "
="2312","金寶","市","04/10","","15.1","+0.05","+0.33","6,105","92.9","15.05","15.1","15.35","15.1","1.66","29.6","1.04","    ","    ","    ","    ","    "
="2313","華通","市","04/10","","81.8","+0.4","+0.49","20,974","1,732","81.4","82","83.4","81.7","2.09","23.4","2.48","    ","    ","    ","    ","    "
="2314","台揚","市","04/10","","34.55","+0.8","+2.37","2,208","76.3","33.75","34.15","35.1","33.7","4.15","","4.63","    ","    ","    ","    ","    "
="2316","楠梓電","市","04/10","","45.5","-0.85","-1.83","10,779","492","46.35","47.45","48.2","44.15","8.74","9.87","0.93","    ","    ","    ","    ","    "
="2317","鴻海","市","04/10","","154.5","-3.5","-2.22","98,948","15,448","158","159","160","154","3.8","15.1","1.43","    ","    ","    ","    ","    "
="2321","東訊","市","04/10","","16.55","-0.35","-2.07","7","0.12","16.9","16.9","17.6","16.55","6.21","","2.43","    ","    ","    ","    ","    "
="2323","中環","市","04/10","","12.25","-0.2","-1.61","7,177","88.7","12.45","12.55","12.55","12.25","2.41","7.61","0.72","    ","    ","    ","    ","    "
="2324","仁寶","市","04/10","","36.6","+0.15","+0.41","25,705","949","36.45","36.7","37.35","36.55","2.19","20.8","1.33","    ","    ","    ","    ","    "
="2327","國巨","市","04/10","","621","+6","+0.98","2,242","1,394","615","616","627","615","1.95","14.9","1.93","    ","    ","    ","    ","    "
="2328","廣宇","市","04/10","","35.15","+0.2","+0.57","2,760","97","34.95","35.25","35.45","34.95","1.43","14.5","1.36","    ","    ","    ","    ","    "
="2329","華泰","市","04/10","","69.7","+4.9","+7.56","52,447","3,603","64.8","65.5","70.3","65.4","7.56","26.2","4.55","    ","    ","    ","    ","    "
="2330","台積電","市","04/10","","815","-4","-0.49","28,231","23,013","819","815","819","810","1.1","25.2","6.11","    ","    ","    ","    ","    "
="2331","精英","市","04/10","","31.45","-0.1","-0.32","6,953","222","31.55","31.75","32.4","31.45","3.01","17.3","1.46","    ","    ","    ","    ","    "
="2332","友訊","市","04/10","","18.35","+0.05","+0.27","2,459","45.3","18.3","18.4","18.6","18.3","1.64","19.3","1.21","    ","    ","    ","    ","    "
="2337","旺宏","市","04/10","","27.85","0","0","7,359","205","27.85","27.7","28.15","27.6","1.97","","1.07","    ","    ","    ","    ","    "
="2338","光罩","市","04/10","","71.6","+0.4","+0.56","3,058","220","71.2","71.2","72.7","70.9","2.53","40.9","2.98","    ","    ","    ","    ","    "
="2340","台亞","市","04/10","","40.8","+0.85","+2.13","1,989","80.7","39.95","40.05","40.9","40.05","2.13","58.3","2.15","    ","    ","    ","    ","    "
="2342","茂矽","市","04/10","","32.4","+0.5","+1.57","576","18.8","31.9","31.95","32.95","31.9","3.29","","2.18","    ","    ","    ","    ","    "
