date,stock_id,type,value,origin_name
2019-03-31,2328,AccountsPayable_per,13.59,應付帳款
2019-03-31,2328,AccountsPayableToRelatedParties_per,7.44,應付帳款－關係人
2019-03-31,2328,AccountsReceivableDuefromRelatedPartiesNet_per,19.87,應收帳款－關係人淨額
2019-03-31,2328,AccountsReceivableNet_per,9.95,應收帳款淨額
2019-03-31,2328,CapitalStock_per,24.77,股本合計
2019-03-31,2328,CapitalSurplus_per,7.18,資本公積合計
2019-03-31,2328,CapitalSurplusAdditionalPaidInCapital_per,6.7,資本公積－發行溢價
2019-03-31,2328,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,2660000.0,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
2019-03-31,2328,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod_per,0.01,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
2019-03-31,2328,CashAndCashEquivalents_per,18.09,現金及約當現金
2019-03-31,2328,CurrentAssets_per,69.08,流動資產合計
2019-03-31,2328,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,47713000.0,透過損益按公允價值衡量之金融資產－流動
2019-03-31,2328,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.23,透過損益按公允價值衡量之金融資產－流動
2019-03-31,2328,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,0.0,透過損益按公允價值衡量之金融負債－流動
2019-03-31,2328,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.0,透過損益按公允價值衡量之金融負債－流動
2019-03-31,2328,CurrentLiabilities_per,35.63,流動負債合計
2019-03-31,2328,DeferredTaxAssets,102173000.0,遞延所得稅資產
2019-03-31,2328,DeferredTaxAssets_per,0.49,遞延所得稅資產
2019-03-31,2328,Equity_per,61.51,權益總額
2019-03-31,2328,EquityAttributableToOwnersOfParent_per,53.83,歸屬於母公司業主之權益合計
2019-03-31,2328,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2019-03-31,2328,IntangibleAssets,39128000.0,無形資產
2019-03-31,2328,IntangibleAssets_per,0.19,無形資產
2019-03-31,2328,Inventories_per,10.75,存貨
2019-03-31,2328,LegalReserve,840872000.0,法定盈餘公積
2019-03-31,2328,LegalReserve_per,4.02,法定盈餘公積
2019-03-31,2328,Liabilities,8054400000.0,負債總額
2019-03-31,2328,Liabilities_per,38.0,負債總額
2019-03-31,2328,NoncontrollingInterests_per,7.69,非控制權益
2019-03-31,2328,NoncurrentAssets_per,30.92,非流動資產合計
2019-03-31,2328,NoncurrentLiabilities,597325000.0,非流動負債合計
2019-03-31,2328,NoncurrentLiabilities_per,2.85,非流動負債合計
2019-03-31,2328,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,0.0,母公司暨子公司所持有之母公司庫藏股股數
2019-03-31,2328,OrdinaryShare_per,24.77,普通股股本
2019-03-31,2328,OtherCurrentAssets,168478000.0,其他流動資產
2019-03-31,2328,OtherCurrentAssets_per,0.81,其他流動資產
2019-03-31,2328,OtherCurrentLiabilities,29086000.0,其他流動負債
2019-03-31,2328,OtherCurrentLiabilities_per,0.14,其他流動負債
2019-03-31,2328,OtherEquityInterest,666617000.0,其他權益合計
2019-03-31,2328,OtherEquityInterest_per,3.19,其他權益合計
2019-03-31,2328,OtherNoncurrentAssets,40439000.0,其他非流動資產
2019-03-31,2328,OtherNoncurrentAssets_per,0.19,其他非流動資產
2019-03-31,2328,OtherNoncurrentLiabilities,40852000.0,其他非流動負債
2019-03-31,2328,OtherNoncurrentLiabilities_per,0.2,其他非流動負債
2019-03-31,2328,OtherPayables,829183000.0,其他應付款
2019-03-31,2328,OtherPayables_per,3.96,其他應付款
2019-03-31,2328,OtherReceivable,119827000.0,其他應收款淨額
2019-03-31,2328,OtherReceivable_per,0.57,其他應收款淨額
2019-03-31,2328,PropertyPlantAndEquipment_per,8.92,不動產、廠房及設備
2019-03-31,2328,RetainedEarnings_per,25.06,保留盈餘合計
2019-03-31,2328,ShorttermBorrowings,1525590000.0,短期借款
2019-03-31,2328,ShorttermBorrowings_per,7.29,短期借款
2019-03-31,2328,TotalAssets_per,100.0,資產總額
2019-03-31,2328,TotalLiabilitiesEquity_per,100.0,負債及權益總計
2019-03-31,2328,UnappropriatedRetainedEarningsAaccumulatedDeficit,3906230000.0,未分配盈餘
2019-03-31,2328,UnappropriatedRetainedEarningsAaccumulatedDeficit_per,19.0,未分配盈餘
2019-03-31,2328,CashAndCashEquivalents,3786371000.0,現金及約當現金
2019-03-31,2328,FinancialAssetsAtAmortizedCost,1840847000.0,按攤銷後成本衡量之金融資產－流動
2019-03-31,2328,FinancialAssetsAtAmortizedCost_per,8.8,按攤銷後成本衡量之金融資產－流動
2019-03-31,2328,BillsReceivableNet,2700000.0,應收票據淨額
2019-03-31,2328,BillsReceivableNet_per,0.01,應收票據淨額
2019-03-31,2328,AccountsReceivableNet,2083191000.0,應收帳款淨額
2019-03-31,2328,AccountsReceivableDuefromRelatedPartiesNet,4157782000.0,應收帳款－關係人淨額
2019-03-31,2328,Inventories,2249789000.0,存貨
2019-03-31,2328,CurrentAssets,14456698000.0,流動資產合計
2019-03-31,2328,PropertyPlantAndEquipment,1865819000.0,不動產、廠房及設備
2019-03-31,2328,NoncurrentAssets,6470953000.0,非流動資產合計
2019-03-31,2328,TotalAssets,20927651000.0,資產總額
2019-03-31,2328,AccountsPayable,2843931000.0,應付帳款
2019-03-31,2328,AccountsPayableToRelatedParties,1556195000.0,應付帳款－關係人
2019-03-31,2328,CurrentLiabilities,7457073000.0,流動負債合計
2019-03-31,2328,OrdinaryShare,5183462000.0,普通股股本
2019-03-31,2328,CapitalStock,5183462000.0,股本合計
2019-03-31,2328,CapitalSurplusAdditionalPaidInCapital,1402318000.0,資本公積－發行溢價
2019-03-31,2328,CapitalSurplus,1503606000.0,資本公積合計
2019-03-31,2328,RetainedEarnings,5244005000.0,保留盈餘合計
2019-03-31,2328,EquityAttributableToOwnersOfParent,11264456000.0,歸屬於母公司業主之權益合計
2019-03-31,2328,NoncontrollingInterests,1608797000.0,非控制權益
2019-03-31,2328,Equity,12873253000.0,權益總額
2019-03-31,2328,TotalLiabilitiesEquity,20927651000.0,負債及權益總計
2019-06-30,2328,AccountsPayable_per,14.25,應付帳款
2019-06-30,2328,AccountsPayableToRelatedParties_per,8.02,應付帳款－關係人
2019-06-30,2328,AccountsReceivableDuefromRelatedPartiesNet_per,19.73,應收帳款－關係人淨額
2019-06-30,2328,AccountsReceivableNet_per,14.23,應收帳款淨額
2019-06-30,2328,CapitalStock_per,24.96,股本合計
2019-06-30,2328,CapitalSurplus_per,7.24,資本公積合計
2019-06-30,2328,CapitalSurplusAdditionalPaidInCapital_per,6.75,資本公積－發行溢價
2019-06-30,2328,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,2660000.0,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
2019-06-30,2328,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod_per,0.01,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
2019-06-30,2328,CashAndCashEquivalents_per,24.57,現金及約當現金
2019-06-30,2328,CurrentAssets_per,71.21,流動資產合計
2019-06-30,2328,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,75794000.0,透過損益按公允價值衡量之金融資產－流動
2019-06-30,2328,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.36,透過損益按公允價值衡量之金融資產－流動
2019-06-30,2328,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,0.0,透過損益按公允價值衡量之金融負債－流動
2019-06-30,2328,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.0,透過損益按公允價值衡量之金融負債－流動
2019-06-30,2328,CurrentLiabilities_per,38.65,流動負債合計
2019-06-30,2328,DeferredTaxAssets,101391000.0,遞延所得稅資產
2019-06-30,2328,DeferredTaxAssets_per,0.49,遞延所得稅資產
