date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-07-23,5306,105.5,101.0,4.5,除息,111.0,90.9,101.0,101.0
2020-07-23,5306,165.5,161.0,4.5,除息,177.0,145.0,161.0,161.0
2021-07-29,5306,239.0,231.8,7.2,除息,254.5,209.0,232.0,231.8
2021-12-09,5306,201.0,196.5,4.5,除息,216.0,177.0,196.5,196.5
2022-03-17,5306,188.5,186.25,2.25,息,204.5,168.0,186.5,186.25
2022-07-01,5306,165.5,163.25,2.25,息,179.5,147.0,163.5,163.25
2022-09-19,5306,169.5,167.25,2.25,息,183.5,151.0,167.5,167.25
2022-12-19,5306,144.0,141.75,2.25,息,155.5,128.0,142.0,141.75
2023-03-15,5306,149.0,146.75,2.25,息,161.0,132.5,147.0,146.75
2023-06-29,5306,145.0,142.75,2.25,息,157.0,128.5,143.0,142.75
2023-09-14,5306,142.5,141.34,1.16,息,155.0,127.5,141.5,141.34
2023-12-18,5306,130.0,128.96,1.04,息,141.5,116.5,129.0,128.96
2024-03-19,5306,143.5,142.75,0.75,息,157.0,128.5,143.0,142.75
