date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-07-10,9802,74.6,70.97,3.63,息,78.0,63.9,71.0,70.97
2020-07-14,9802,106.5,100.98,5.52,息,111.0,90.9,101.0,100.98
2020-08-11,9802,114.0,111.88,2.11,權,125.0,101.0,114.0,114.0
2021-03-04,9802,114.5,112.4,2.1,息,123.5,101.5,112.5,112.4
2021-10-12,9802,99.2,97.5,1.7,息,107.0,87.8,97.5,97.5
2022-03-15,9802,109.0,107.77,1.23,息,118.5,97.0,108.0,107.77
2022-09-15,9802,201.5,198.55,2.94,息,218.0,179.0,198.5,198.55
2023-03-16,9802,130.0,128.8,1.2,息,141.5,116.0,129.0,128.8
2023-09-14,9802,139.5,133.5,5.99,息,146.5,120.5,133.5,133.5
2024-03-18,9802,124.5,122.5,2.0,息,134.5,110.5,122.5,122.5
