date,stock_id,type,value,origin_name
2019-03-31,2367,IncomeBeforeIncomeTax,261962000.0,稅前淨利(淨損)
2019-03-31,2367,NetIncome,200909000.0,本期淨利(淨損)
2019-03-31,2367,OperatingExpenses,470604000.0,營業費用
2019-03-31,2367,TAX,61053000.0,所得稅費用（利益）
2019-03-31,2367,EPS,0.33,基本每股盈餘（元）
2019-03-31,2367,PreTaxIncome,261962000.0,稅前淨利（淨損）
2019-03-31,2367,IncomeFromContinuingOperations,200909000.0,繼續營業單位本期淨利（淨損）
2019-03-31,2367,IncomeAfterTaxes,200909000.0,本期淨利（淨損）
2019-03-31,2367,TotalConsolidatedProfitForThePeriod,281859000.0,本期綜合損益總額
2019-03-31,2367,Revenue,4831710000.0,營業收入
2019-03-31,2367,CostOfGoodsSold,4074470000.0,營業成本
2019-03-31,2367,GrossProfit,757240000.0,營業毛利（毛損）淨額
2019-03-31,2367,OperatingIncome,286636000.0,營業利益（損失）
2019-03-31,2367,TotalNonoperatingIncomeAndExpense,-24674000.0,營業外收入及支出
2019-03-31,2367,OtherComprehensiveIncome,80950000.0,其他綜合損益（淨額）
2019-03-31,2367,EquityAttributableToOwnersOfParent,204327000.0,淨利（淨損）歸屬於母公司業主
2019-03-31,2367,NoncontrollingInterests,-3418000.0,淨利（淨損）歸屬於非控制權益
2019-06-30,2367,IncomeBeforeIncomeTax,649864000.0,稅前淨利(淨損)
2019-06-30,2367,NetIncome,504389000.0,本期淨利(淨損)
2019-06-30,2367,OperatingExpenses,523644000.0,營業費用
2019-06-30,2367,TAX,145475000.0,所得稅費用（利益）
2019-06-30,2367,EPS,0.81,基本每股盈餘（元）
2019-06-30,2367,PreTaxIncome,649864000.0,稅前淨利（淨損）
2019-06-30,2367,IncomeFromContinuingOperations,504389000.0,繼續營業單位本期淨利（淨損）
2019-06-30,2367,IncomeAfterTaxes,504389000.0,本期淨利（淨損）
2019-06-30,2367,TotalConsolidatedProfitForThePeriod,449720000.0,本期綜合損益總額
2019-06-30,2367,Revenue,5638092000.0,營業收入
2019-06-30,2367,CostOfGoodsSold,4437779000.0,營業成本
2019-06-30,2367,GrossProfit,1200313000.0,營業毛利（毛損）淨額
2019-06-30,2367,OperatingIncome,676669000.0,營業利益（損失）
2019-06-30,2367,TotalNonoperatingIncomeAndExpense,-26805000.0,營業外收入及支出
2019-06-30,2367,OtherComprehensiveIncome,-54669000.0,其他綜合損益（淨額）
2019-06-30,2367,EquityAttributableToOwnersOfParent,504395000.0,淨利（淨損）歸屬於母公司業主
2019-06-30,2367,NoncontrollingInterests,-6000.0,淨利（淨損）歸屬於非控制權益
2019-09-30,2367,IncomeBeforeIncomeTax,878259000.0,稅前淨利(淨損)
2019-09-30,2367,NetIncome,668469000.0,本期淨利(淨損)
2019-09-30,2367,OperatingExpenses,731951000.0,營業費用
2019-09-30,2367,TAX,209790000.0,所得稅費用（利益）
2019-09-30,2367,EPS,1.09,基本每股盈餘（元）
2019-09-30,2367,PreTaxIncome,878259000.0,稅前淨利（淨損）
2019-09-30,2367,IncomeFromContinuingOperations,668469000.0,繼續營業單位本期淨利（淨損）
2019-09-30,2367,IncomeAfterTaxes,668469000.0,本期淨利（淨損）
2019-09-30,2367,TotalConsolidatedProfitForThePeriod,567638000.0,本期綜合損益總額
2019-09-30,2367,Revenue,6203982000.0,營業收入
2019-09-30,2367,CostOfGoodsSold,4634349000.0,營業成本
2019-09-30,2367,GrossProfit,1569633000.0,營業毛利（毛損）淨額
2019-09-30,2367,OperatingIncome,837682000.0,營業利益（損失）
2019-09-30,2367,TotalNonoperatingIncomeAndExpense,40577000.0,營業外收入及支出
2019-09-30,2367,OtherComprehensiveIncome,-100831000.0,其他綜合損益（淨額）
2019-09-30,2367,EquityAttributableToOwnersOfParent,669887000.0,淨利（淨損）歸屬於母公司業主
2019-09-30,2367,NoncontrollingInterests,-1418000.0,淨利（淨損）歸屬於非控制權益
2019-12-31,2367,IncomeBeforeIncomeTax,486100000.0,稅前淨利(淨損)
2019-12-31,2367,NetIncome,357320000.0,本期淨利(淨損)
2019-12-31,2367,OperatingExpenses,895542000.0,營業費用
2019-12-31,2367,TAX,128780000.0,所得稅費用（利益）
2019-12-31,2367,EPS,0.57,基本每股盈餘（元）
2019-12-31,2367,PreTaxIncome,486100000.0,稅前淨利（淨損）
2019-12-31,2367,IncomeFromContinuingOperations,357320000.0,繼續營業單位本期淨利（淨損）
2019-12-31,2367,IncomeAfterTaxes,357320000.0,本期淨利（淨損）
2019-12-31,2367,TotalConsolidatedProfitForThePeriod,392510000.0,本期綜合損益總額
2019-12-31,2367,Revenue,5744542000.0,營業收入
2019-12-31,2367,CostOfGoodsSold,4220758000.0,營業成本
2019-12-31,2367,GrossProfit,1523784000.0,營業毛利（毛損）淨額
2019-12-31,2367,OperatingIncome,628242000.0,營業利益（損失）
2019-12-31,2367,TotalNonoperatingIncomeAndExpense,-142142000.0,營業外收入及支出
2019-12-31,2367,OtherComprehensiveIncome,35190000.0,其他綜合損益（淨額）
2019-12-31,2367,EquityAttributableToOwnersOfParent,356691000.0,淨利（淨損）歸屬於母公司業主
2019-12-31,2367,NoncontrollingInterests,629000.0,淨利（淨損）歸屬於非控制權益
2020-03-31,2367,OperatingExpenses,484024000.0,營業費用
2020-03-31,2367,TAX,12729000.0,所得稅費用（利益）
2020-03-31,2367,EPS,0.02,基本每股盈餘（元）
2020-03-31,2367,PreTaxIncome,26391000.0,稅前淨利（淨損）
2020-03-31,2367,IncomeFromContinuingOperations,13662000.0,繼續營業單位本期淨利（淨損）
2020-03-31,2367,IncomeAfterTaxes,13662000.0,本期淨利（淨損）
2020-03-31,2367,TotalConsolidatedProfitForThePeriod,-178789000.0,本期綜合損益總額
2020-03-31,2367,Revenue,3632062000.0,營業收入
2020-03-31,2367,CostOfGoodsSold,3128134000.0,營業成本
2020-03-31,2367,GrossProfit,503928000.0,營業毛利（毛損）淨額
2020-03-31,2367,OperatingIncome,19904000.0,營業利益（損失）
2020-03-31,2367,TotalNonoperatingIncomeAndExpense,6487000.0,營業外收入及支出
2020-03-31,2367,OtherComprehensiveIncome,-192451000.0,其他綜合損益（淨額）
2020-03-31,2367,EquityAttributableToOwnersOfParent,12670000.0,淨利（淨損）歸屬於母公司業主
2020-03-31,2367,NoncontrollingInterests,992000.0,淨利（淨損）歸屬於非控制權益
2020-06-30,2367,OperatingExpenses,678639000.0,營業費用
2020-06-30,2367,TAX,-22417000.0,所得稅費用（利益）
2020-06-30,2367,EPS,-1.11,基本每股盈餘（元）
2020-06-30,2367,PreTaxIncome,-710503000.0,稅前淨利（淨損）
2020-06-30,2367,IncomeFromContinuingOperations,-688086000.0,繼續營業單位本期淨利（淨損）
2020-06-30,2367,IncomeAfterTaxes,-688086000.0,本期淨利（淨損）
2020-06-30,2367,TotalConsolidatedProfitForThePeriod,-345921000.0,本期綜合損益總額
2020-06-30,2367,Revenue,2249610000.0,營業收入
2020-06-30,2367,CostOfGoodsSold,2632289000.0,營業成本
2020-06-30,2367,GrossProfit,-382679000.0,營業毛利（毛損）淨額
2020-06-30,2367,OperatingIncome,-1061318000.0,營業利益（損失）
2020-06-30,2367,TotalNonoperatingIncomeAndExpense,350815000.0,營業外收入及支出
2020-06-30,2367,OtherComprehensiveIncome,342165000.0,其他綜合損益（淨額）
2020-06-30,2367,EquityAttributableToOwnersOfParent,-688086000.0,淨利（淨損）歸屬於母公司業主
2020-06-30,2367,NoncontrollingInterests,0.0,淨利（淨損）歸屬於非控制權益
2020-09-30,2367,OperatingExpenses,440423000.0,營業費用
