date,stock_id,type,value,origin_name
2019-03-31,2027,OtherNonCurrentLiabilitiesIncrease,0.0,其他流動資產(增加)減少
2019-03-31,2027,PropertyAndPlantAndEquipment,-969610000.0,取得不動產、廠房及設備
2019-03-31,2027,CashBalancesEndOfPeriod,8133810000.0,期末現金及約當現金餘額
2019-03-31,2027,CashBalancesIncrease,-3704073000.0,本期現金及約當現金增加（減少）數
2019-03-31,2027,CashProvidedByInvestingActivities,-1791428000.0,投資活動之淨現金流入（流出）
2019-03-31,2027,CashBalancesBeginningOfPeriod,11837883000.0,期初現金及約當現金餘額
2019-03-31,2027,RentalPrincipalRepayments,-176785000.0,租賃本金償還
2019-03-31,2027,PayTheInterest,-460797000.0,支付之利息
2019-03-31,2027,IncomeBeforeIncomeTaxFromContinuingOperations,1667885000.0,繼續營業單位稅前淨利（淨損）
2019-03-31,2027,ProceedsFromLongTermDebt,7248198000.0,舉借長期借款
2019-03-31,2027,NetIncomeBeforeTax,1667885000.0,本期稅前淨利（淨損）
2019-03-31,2027,CashFlowsFromOperatingActivities,-1834503000.0,營業活動之淨現金流入（流出）
2019-03-31,2027,Depreciation,332596000.0,折舊費用
2019-03-31,2027,AmortizationExpense,99386000.0,攤銷費用
2019-03-31,2027,AccountsPayable,-347654000.0,應付帳款增加(減少)
2019-03-31,2027,DecreaseInDepositDeposit,5734000.0,存出保證金減少
2019-03-31,2027,RepaymentOfLongTermDebt,-3858220000.0,償還長期借款
2019-03-31,2027,InterestExpense,451854000.0,利息費用
2019-03-31,2027,CashFlowsProvidedFromFinancingActivities,-85369000.0,籌資活動之淨現金流入（流出）
2019-03-31,2027,InterestIncome,-7737000.0,利息收入
2019-03-31,2027,DecreaseInShortTermLoans,-7959027000.0,短期借款減少
2019-03-31,2027,CashReceivedThroughOperations,-1826467000.0,營運產生之現金流入（流出）
2019-03-31,2027,InventoryIncrease,-2848225000.0,存貨(增加)減少
2019-03-31,2027,ReceivableIncrease,-1419605000.0,應收帳款(增加)減少
2019-03-31,2027,TotalIncomeLossItems,1137306000.0,收益費損項目合計
2019-06-30,2027,OtherNonCurrentLiabilitiesIncrease,0.0,其他流動資產(增加)減少
2019-06-30,2027,PropertyAndPlantAndEquipment,-1508625000.0,取得不動產、廠房及設備
2019-06-30,2027,CashBalancesEndOfPeriod,8172075000.0,期末現金及約當現金餘額
2019-06-30,2027,CashBalancesIncrease,-3665808000.0,本期現金及約當現金增加（減少）數
2019-06-30,2027,CashProvidedByInvestingActivities,-3260802000.0,投資活動之淨現金流入（流出）
2019-06-30,2027,CashBalancesBeginningOfPeriod,11837883000.0,期初現金及約當現金餘額
2019-06-30,2027,RentalPrincipalRepayments,-356064000.0,租賃本金償還
2019-06-30,2027,PayTheInterest,-911342000.0,支付之利息
2019-06-30,2027,IncomeBeforeIncomeTaxFromContinuingOperations,3052245000.0,繼續營業單位稅前淨利（淨損）
2019-06-30,2027,ProceedsFromLongTermDebt,10734128000.0,舉借長期借款
2019-06-30,2027,NetIncomeBeforeTax,3052245000.0,本期稅前淨利（淨損）
2019-06-30,2027,Depreciation,687661000.0,折舊費用
2019-06-30,2027,AmortizationExpense,261568000.0,攤銷費用
2019-06-30,2027,AccountsPayable,111440000.0,應付帳款增加(減少)
2019-06-30,2027,DecreaseInDepositDeposit,10531000.0,存出保證金減少
2019-06-30,2027,RepaymentOfLongTermDebt,-6347155000.0,償還長期借款
2019-06-30,2027,InterestExpense,946582000.0,利息費用
2019-06-30,2027,CashFlowsProvidedFromFinancingActivities,1592595000.0,籌資活動之淨現金流入（流出）
2019-06-30,2027,InterestIncome,-10335000.0,利息收入
2019-06-30,2027,DecreaseInShortTermLoans,-11840779000.0,短期借款減少
2019-06-30,2027,TotalIncomeLossItems,949227000.0,收益費損項目合計
2019-06-30,2027,CashReceivedThroughOperations,-1063510000.0,營運產生之現金流入（流出）
