date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-07-16,2303,14.9,14.31,0.59,息,15.7,12.9,14.3,14.31
2020-07-15,2303,16.8,15.99,0.8,息,17.55,14.4,16.0,15.99
2021-07-22,2303,50.8,49.2,1.6,息,54.1,44.3,49.2,49.2
2022-06-22,2303,49.3,46.3,3.0,息,50.9,41.7,46.3,46.3
2023-06-27,2303,53.3,49.69,3.6,息,54.6,44.75,49.7,49.69
