date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-06-24,2330,248.5,240.5,8.0,息,264.5,216.5,240.5,240.5
2019-09-19,2330,267.0,265.0,2.0,息,291.5,238.5,265.0,265.0
2019-12-19,2330,344.5,342.0,2.5,息,376.0,308.0,342.0,342.0
2020-03-19,2330,260.0,257.5,2.5,息,283.0,232.0,257.5,257.5
2020-06-18,2330,315.0,312.5,2.5,息,343.5,281.5,312.5,312.5
2020-09-17,2330,458.0,455.5,2.5,息,501.0,410.0,455.5,455.5
2020-12-17,2330,512.0,509.5,2.5,息,560.0,459.0,510.0,509.5
2021-03-17,2330,613.0,610.5,2.5,息,671.0,550.0,611.0,610.5
2021-06-17,2330,605.0,602.5,2.5,息,662.0,543.0,603.0,602.5
2021-09-16,2330,607.0,604.25,2.75,息,664.0,544.0,604.0,604.25
2021-12-16,2330,600.0,597.25,2.75,息,656.0,538.0,597.0,597.25
2022-03-16,2330,558.0,555.25,2.75,息,610.0,500.0,555.0,555.25
2022-06-16,2330,509.0,506.25,2.75,息,556.0,456.0,506.0,506.25
2022-09-15,2330,480.0,477.25,2.75,息,524.0,430.0,477.5,477.25
2022-12-15,2330,480.5,477.75,2.75,息,525.0,430.0,478.0,477.75
2023-03-16,2330,511.0,508.25,2.75,息,559.0,457.5,508.0,508.25
2023-06-15,2330,590.0,587.25,2.75,息,645.0,529.0,587.0,587.25
2023-09-14,2330,541.0,538.0,3.0,息,591.0,484.5,538.0,538.0
2023-12-14,2330,577.0,574.0,3.0,息,631.0,517.0,574.0,574.0
2024-03-18,2330,753.0,749.5,3.5,息,824.0,675.0,750.0,749.5
