date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-07-16,1907,12.55,11.95,0.6,息,13.1,10.8,11.95,11.95
2020-07-15,1907,14.3,13.6,0.7,息,14.95,12.25,13.6,13.6
2021-06-09,1907,49.1,47.6,1.5,息,52.3,42.85,47.6,47.6
2022-07-15,1907,24.2,22.7,1.5,息,24.95,20.45,22.7,22.7
2023-07-13,1907,36.3,35.4,0.9,息,38.9,31.9,35.4,35.4
