date,stock_id,type,value,origin_name
2019-03-31,6197,IncomeBeforeIncomeTax,25222000.0,稅前淨利(淨損)
2019-03-31,6197,NetIncome,16398000.0,本期淨利(淨損)
2019-03-31,6197,OperatingExpenses,136832000.0,營業費用
2019-03-31,6197,TAX,8824000.0,所得稅費用（利益）
2019-03-31,6197,EPS,0.22,基本每股盈餘（元）
2019-03-31,6197,PreTaxIncome,25222000.0,稅前淨利（淨損）
2019-03-31,6197,IncomeFromContinuingOperations,16398000.0,繼續營業單位本期淨利（淨損）
2019-03-31,6197,IncomeAfterTaxes,16398000.0,本期淨利（淨損）
2019-03-31,6197,TotalConsolidatedProfitForThePeriod,94591000.0,本期綜合損益總額
2019-03-31,6197,Revenue,756058000.0,營業收入
2019-03-31,6197,CostOfGoodsSold,598272000.0,營業成本
2019-03-31,6197,GrossProfit,157786000.0,營業毛利（毛損）淨額
2019-03-31,6197,OperatingIncome,20954000.0,營業利益（損失）
2019-03-31,6197,TotalNonoperatingIncomeAndExpense,4268000.0,營業外收入及支出
2019-03-31,6197,OtherComprehensiveIncome,78193000.0,其他綜合損益（淨額）
2019-03-31,6197,EquityAttributableToOwnersOfParent,26521000.0,淨利（淨損）歸屬於母公司業主
2019-03-31,6197,NoncontrollingInterests,-10123000.0,淨利（淨損）歸屬於非控制權益
2019-06-30,6197,IncomeBeforeIncomeTax,105738000.0,稅前淨利(淨損)
2019-06-30,6197,NetIncome,99024000.0,本期淨利(淨損)
2019-06-30,6197,OperatingExpenses,158741000.0,營業費用
2019-06-30,6197,TAX,6714000.0,所得稅費用（利益）
2019-06-30,6197,EPS,0.88,基本每股盈餘（元）
2019-06-30,6197,PreTaxIncome,105738000.0,稅前淨利（淨損）
2019-06-30,6197,IncomeFromContinuingOperations,99024000.0,繼續營業單位本期淨利（淨損）
2019-06-30,6197,IncomeAfterTaxes,99024000.0,本期淨利（淨損）
2019-06-30,6197,TotalConsolidatedProfitForThePeriod,80705000.0,本期綜合損益總額
2019-06-30,6197,Revenue,894910000.0,營業收入
2019-06-30,6197,CostOfGoodsSold,677807000.0,營業成本
2019-06-30,6197,GrossProfit,217103000.0,營業毛利（毛損）淨額
2019-06-30,6197,OperatingIncome,58362000.0,營業利益（損失）
2019-06-30,6197,TotalNonoperatingIncomeAndExpense,47376000.0,營業外收入及支出
2019-06-30,6197,OtherComprehensiveIncome,-18319000.0,其他綜合損益（淨額）
2019-06-30,6197,EquityAttributableToOwnersOfParent,105796000.0,淨利（淨損）歸屬於母公司業主
2019-06-30,6197,NoncontrollingInterests,-6772000.0,淨利（淨損）歸屬於非控制權益
