date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-09-04,4763,149.0,131.81,17.18,權息,144.5,119.0,132.0,131.81
2020-09-03,4763,128.0,123.24,4.75,息,135.5,111.0,123.0,123.24
2021-05-21,4763,127.5,110.86,16.63,權,121.5,99.8,111.0,110.86
2021-09-23,4763,104.0,99.21,4.78,息,109.0,89.3,99.2,99.21
2022-07-20,4763,104.0,103.8,0.2,權,114.0,93.5,104.0,104.0
2022-09-29,4763,124.5,119.63,4.87,息,131.5,108.0,119.5,119.63
2022-12-19,4763,176.5,172.54,3.96,息,189.5,155.5,172.5,172.54
2023-07-27,4763,898.0,878.38,19.62,權,987.0,791.0,898.0,898.0
2023-10-03,4763,1165.0,1016.89,148.11,權息,1115.0,916.0,1015.0,1016.89
2023-11-28,4763,848.0,843.64,4.36,息,928.0,760.0,844.0,843.64
