date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-07-16,6415,650.0,643.47,6.52,息,707.0,580.0,643.0,643.47
2020-07-21,6415,1740.0,1732.52,7.48,息,1905.0,1560.0,1735.0,1732.52
2021-07-20,6415,3990.0,3979.53,10.46,息,4375.0,3585.0,3980.0,3979.53
2022-03-25,6415,3360.0,3342.01,17.98,息,3675.0,3010.0,3340.0,3342.01
2023-03-24,6415,512.0,507.5,4.49,息,558.0,457.0,508.0,507.5
2024-03-28,6415,336.5,334.53,1.96,息,367.5,301.5,334.5,334.53
