date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-06-26,3563,401.0,374.0,27.0,息,411.0,337.0,374.0,374.0
2020-03-27,3563,237.0,237.61,-0.62,權,261.0,213.5,237.0,237.0
2020-06-15,3563,322.0,312.0,10.0,息,343.0,281.0,312.0,312.0
2020-10-29,3563,290.0,287.0,3.0,息,315.5,258.5,287.0,287.0
2021-07-20,3563,262.5,253.5,9.0,息,278.5,228.5,253.5,253.5
2021-12-20,3563,236.0,234.0,2.0,息,257.0,211.0,234.0,234.0
2022-06-14,3563,183.0,173.0,10.0,息,190.0,156.0,173.0,173.0
2022-11-22,3563,133.5,131.5,2.0,息,144.5,118.5,131.5,131.5
2023-06-07,3563,215.5,207.5,8.0,息,228.0,187.0,207.5,207.5
2023-11-20,3563,198.5,197.5,1.0,息,217.0,178.0,197.5,197.5
