date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-07-25,6191,15.7,15.4,0.3,息,16.9,13.9,15.4,15.4
2020-07-23,6191,16.45,15.94,0.5,息,17.5,14.35,15.95,15.94
2021-08-16,6191,33.95,33.14,0.8,息,36.45,29.85,33.15,33.14
2022-08-09,6191,28.9,27.14,1.75,息,29.85,24.45,27.15,27.14
2023-07-19,6191,50.8,48.17,2.62,息,52.9,43.4,48.15,48.17
