date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-07-26,5283,106.5,97.5,9.0,息,107.0,87.8,97.5,97.5
2020-03-20,5283,82.1,78.1,4.0,息,85.9,70.3,78.1,78.1
2020-09-03,5283,108.5,104.33,4.16,息,114.5,93.9,104.5,104.33
2021-03-22,5283,139.5,135.5,4.0,息,149.0,122.0,135.5,135.5
2021-09-02,5283,118.5,114.5,4.0,息,125.5,103.5,114.5,114.5
2022-03-17,5283,120.0,116.0,4.0,息,127.5,104.5,116.0,116.0
2022-09-02,5283,112.0,108.0,4.0,息,118.5,97.2,108.0,108.0
2023-03-16,5283,112.0,108.0,4.0,息,118.5,97.2,108.0,108.0
2023-08-31,5283,114.5,110.5,4.0,息,121.5,99.5,110.5,110.5
2024-03-19,5283,117.0,113.0,4.0,息,124.0,102.0,113.0,113.0
