date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-06-20,6505,118.5,113.7,4.8,息,125.0,102.5,113.5,113.7
2020-06-17,6505,90.8,87.9,2.9,息,96.6,79.2,87.9,87.9
2021-07-23,6505,100.5,99.91,0.59,息,109.5,90.0,99.9,99.91
2022-06-21,6505,94.5,90.7,3.8,息,99.7,81.7,90.7,90.7
2023-06-13,6505,88.2,87.1,1.1,息,95.8,78.4,87.1,87.1
