date,stock_id,type,value,origin_name
2019-03-31,4967,DecreaseInDepositDeposit,0.0,存出保證金減少
2019-03-31,4967,ProceedsFromLongTermDebt,0.0,舉借長期借款
2019-03-31,4967,CashBalancesBeginningOfPeriod,316476000.0,期初現金及約當現金餘額
2019-03-31,4967,PropertyAndPlantAndEquipment,-198000.0,取得不動產、廠房及設備
2019-03-31,4967,PayTheInterest,-496000.0,支付之利息
2019-03-31,4967,CashProvidedByInvestingActivities,-199000.0,投資活動之淨現金流入（流出）
2019-03-31,4967,CashBalancesEndOfPeriod,297769000.0,期末現金及約當現金餘額
2019-03-31,4967,RentalPrincipalRepayments,-3354000.0,租賃本金償還
2019-03-31,4967,CashBalancesIncrease,-18707000.0,本期現金及約當現金增加（減少）數
2019-03-31,4967,IncomeBeforeIncomeTaxFromContinuingOperations,47730000.0,繼續營業單位稅前淨利（淨損）
2019-03-31,4967,DecreaseInShortTermLoans,-75525000.0,短期借款減少
2019-03-31,4967,NetIncomeBeforeTax,47730000.0,本期稅前淨利（淨損）
2019-03-31,4967,CashFlowsFromOperatingActivities,-174273000.0,營業活動之淨現金流入（流出）
2019-03-31,4967,Depreciation,6134000.0,折舊費用
2019-03-31,4967,AmortizationExpense,29000.0,攤銷費用
2019-03-31,4967,AccountsPayable,86897000.0,應付帳款增加(減少)
2019-03-31,4967,AmountDueToRelatedParties,17892000.0,應付帳款-關係人增加(減少)
2019-03-31,4967,InterestExpense,453000.0,利息費用
2019-03-31,4967,TotalIncomeLossItems,4573000.0,收益費損項目合計
2019-03-31,4967,ReceivableIncrease,12908000.0,應收帳款（增加）減少
2019-03-31,4967,InventoryIncrease,-360785000.0,存貨（增加）減少
2019-03-31,4967,CashFlowsProvidedFromFinancingActivities,155796000.0,籌資活動之淨現金流入（流出）
2019-03-31,4967,CashReceivedThroughOperations,-174129000.0,營運產生之現金流入（流出）
2019-03-31,4967,InterestIncome,-135000.0,利息收入
2019-03-31,4967,RepaymentOfLongTermDebt,-22397000.0,償還長期借款
2019-06-30,4967,DecreaseInDepositDeposit,0.0,存出保證金減少
2019-06-30,4967,ProceedsFromLongTermDebt,0.0,舉借長期借款
2019-06-30,4967,CashBalancesBeginningOfPeriod,316476000.0,期初現金及約當現金餘額
2019-06-30,4967,PropertyAndPlantAndEquipment,-574000.0,取得不動產、廠房及設備
2019-06-30,4967,PayTheInterest,-1220000.0,支付之利息
2019-06-30,4967,CashProvidedByInvestingActivities,-646000.0,投資活動之淨現金流入（流出）
2019-06-30,4967,CashBalancesEndOfPeriod,192761000.0,期末現金及約當現金餘額
2019-06-30,4967,RentalPrincipalRepayments,-6709000.0,租賃本金償還
2019-06-30,4967,CashBalancesIncrease,-123715000.0,本期現金及約當現金增加（減少）數
2019-06-30,4967,IncomeBeforeIncomeTaxFromContinuingOperations,-24491000.0,繼續營業單位稅前淨利（淨損）
2019-06-30,4967,DecreaseInShortTermLoans,-431460000.0,短期借款減少
2019-06-30,4967,NetIncomeBeforeTax,-24491000.0,本期稅前淨利（淨損）
2019-06-30,4967,CashFlowsFromOperatingActivities,-533455000.0,營業活動之淨現金流入（流出）
2019-06-30,4967,Depreciation,12270000.0,折舊費用
2019-06-30,4967,AmortizationExpense,58000.0,攤銷費用
2019-06-30,4967,AmountDueToRelatedParties,0.0,應付帳款-關係人增加(減少)
