date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2019-08-15,4912,141.5,115.84,25.65,權息,127.0,104.5,116.0,115.84
2020-07-13,4912,89.3,86.77,2.53,息,95.4,78.1,86.8,86.77
2020-12-18,4912,109.5,108.57,0.93,息,119.0,97.8,108.5,108.57
2021-07-08,4912,182.5,178.5,4.0,息,196.0,161.0,178.5,178.5
2021-09-06,4912,177.0,153.94,23.06,權,169.0,139.0,154.0,153.94
2021-09-30,4912,163.5,162.63,0.87,息,178.5,146.5,162.5,162.63
2021-12-08,4912,165.5,164.5,1.0,息,180.5,148.5,164.5,164.5
2022-04-28,4912,109.0,108.0,1.0,息,118.5,97.2,108.0,108.0
2022-07-25,4912,113.5,112.49,1.01,息,123.5,101.5,112.5,112.49
2022-10-17,4912,70.5,70.0,0.5,息,77.0,63.0,70.0,70.0
2022-12-28,4912,81.0,80.5,0.5,息,88.5,72.5,80.5,80.5
2023-04-27,4912,70.9,70.4,0.5,息,77.4,63.4,70.4,70.4
2023-09-28,4912,84.8,84.73,0.06,息,93.2,76.3,84.7,84.73
2023-12-26,4912,81.4,80.57,0.83,息,88.6,72.6,80.6,80.57
2024-04-01,4912,123.5,122.72,0.77,息,134.5,110.5,122.5,122.72
